Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,65.0843255971291,62.0087488298395,58.8125920113814,56.1183159747925,53.6125191895423,51.2976413323677,49.5029348561631,47.9160563658257,46.7812660505288,45.4057184626322,43.8981089050782,42.3710583539491,41.3427706488267,39.7685823415063,38.6752957528563,37.4017744600255,35.9008231268443,34.6715588668871,34.6813561844221,34.2634942262381,34.5856925544607,34.9646186086057,36.0009366422124,37.1765032740262,37.768896689451,37.7381300415671,37.516693887089,36.9513795688025,36.5257955468831,36.3413938693638,36.6377989666713,37.4959672891941,39.3194507687427,41.4617220952647,42.7047621542633,43.8575102090464,44.681861237975,44.5221479780984,42.9663679629465,41.4138815456698,39.7385715386076,37.4340430586358,34.0934701256655,30.8933732170174,29.0049287486819,29.5761535499903,31.5165668299048,33.4937636605389,35.9932416961595,38.3612045904397,41.7736676231337,45.3650603013473,48.4958607553632,50.0592880182192,51.256916582685,52.5948192892028,54.3666082057528,56.5731097755301,59.2955075208382,62.4543280603282,65.9825534509274,69.6773999091312,73.813521105715,77.2626571476461
caret,33.0740504799022,32.0511194852505,30.7687142253703,29.5369776368661,28.2432739947844,26.9579807222588,25.8100337593067,24.6966172441756,23.6175275594944,22.5439054518151,21.5792815094354,20.6985344841322,19.7702430306067,18.9912799227736,18.2998310574549,17.6404786092861,17.0600626156,16.687257257983,16.3811820053054,16.4473199056909,16.5090408530847,16.6686443632088,16.9176550682483,17.2795654341914,17.5186333904873,17.9133498703144,18.2038490815207,18.5352041910784,18.9977725636123,19.4694735093135,19.5549068870517,19.466724190471,19.0200293243514,18.5657827470843,17.8544689129687,17.583862112226,17.7750699319407,18.0319280050546,18.3134565139188,18.1211326120856,17.8408516681381,17.5627345036497,17.2817642911604,17.0892757594577,17.0562487828563,17.0422029246896,17.4052634009299,17.9765123936948,18.6429770078826,19.4722812818528,20.2701669383185,21.1188162716065,22.4745400523628,23.6490617690827,24.7512262306093,26.0765186444677,27.2841426008345,28.6632071796779,29.9881374689386,30.9613789662218,31.9324441853779,32.8483686156203,33.1558564736269,33.1399548753099
check,40.1740512752075,39.487896894582,39.0198898033649,38.7098817450771,38.3345862138556,38.2944931546243,38.178668374926,37.9469957828928,37.6215394777728,37.2889679220924,36.4619056609564,35.2553016234664,33.5302307289436,31.8157401979466,30.2492004336433,28.7751814200917,27.6619501252771,26.6792239714949,26.1640306360325,25.6489977167878,25.1119615110707,24.4259561860066,23.2430111099409,22.4335162908783,21.4407269587814,20.1627458446974,19.3098740651127,18.2888566732108,17.2949082581807,16.4392663535021,15.5135441780382,14.8798394673159,13.9113452450775,13.0222794928869,12.44613051715,12.184870213218,11.716253223391,12.0471736558031,12.4602052236042,13.0376847009708,13.7986558152031,14.8447913551449,16.1013901674267,17.3664278081324,18.9310937302543,20.5042837717783,22.0704781019437,23.2064530382992,24.4279279405407,25.6854164517505,27.1035117797076,28.6974547240363,30.4181132194901,32.2879767451903,34.2807624779381,36.2560619464486,38.0613477084181,40.0277410581993,42.0307515877013,43.9422488148279,45.8960504482124,47.5227299183105,48.943551137999,50.235125959883
circle,40.2782616312116,38.8788036877382,37.9198350512679,36.5638734959611,36.0794247468533,35.4074813539826,34.8601343744363,34.5680903536594,34.0346699467041,33.8051404135864,33.9590983369163,34.2371268676729,34.5873747198872,34.931607641819,35.069289131204,35.5995470677715,36.0857582585799,36.5953294917001,37.048116444266,37.7787714961679,38.3459487565738,38.4388162585984,38.3333093998472,38.1487583924136,38.2147467636951,38.4326239896661,38.7047868242047,38.4459697560331,38.2371556098685,38.0904905552078,37.9865764585143,37.8058076119714,37.6634138437756,37.5573622569221,37.3370465027089,37.2321451589647,36.9153945161534,36.395768350115,36.0987473126392,36.3489116007721,36.6390751048307,36.9895422421181,37.11706766083,37.2456619471981,37.4978657666551,37.3617003704517,37.5518525959204,37.9565589688238,37.9061738681612,37.9013462662978,37.8460682080449,37.4947705446546,37.8305567978793,38.0644693619554,37.8440312802632,38.3455001905815,38.8902002328733,39.9857262352754,41.222624432627,42.4849624787223,43.6080560598654,44.542118504361,44.5208093709815,44.0336807145104
delete mark,28.127286995659,26.4292899485098,24.9020586680886,23.5190023987403,22.2300300131636,21.3340134360178,20.550237363671,19.9974578767782,20.0975199642722,20.3735017080263,20.9735802500016,22.1339572401632,23.7786952594796,25.2454011406474,26.6986071315388,27.960698888951,28.5461857293232,27.9907185800782,27.9063600472103,28.2853210882181,29.101841404694,31.9072023078798,33.4760143087611,34.9552572144286,36.8996673002627,39.1882216590865,40.8982815046139,42.1955954395347,43.4461591757091,44.2926025127645,44.9883230113888,45.3310705780029,44.2418416342055,42.494680611461,40.6514948756399,38.9634149238155,35.9790638794484,31.3506405089589,28.1585620128463,26.4433224909584,25.3195461211149,24.6972309343484,24.3893118548212,24.129554340211,23.7810102473313,23.5634495796269,23.5052537377581,23.9637773521791,24.8737196248706,25.9347198386647,27.1793307559965,28.7441525496238,30.5581068638155,32.4024884343591,34.3614621523376,36.4228604219607,38.6239468070342,40.9093505479665,43.0874493941176,45.3943336558015,47.7653243027951,50.1590679298774,52.4980466683084,54.1855339554545
left curly brace,44.8494784038224,43.3512378460246,41.607720539897,40.1731082324499,38.8078600160583,37.3612161931742,36.2350049876567,35.5534090562582,34.7702535091661,34.2979657378115,33.6405089155656,33.0669419383546,31.6803074678136,29.4812287690381,27.3156748060715,25.5979559206007,23.6509152775588,22.1697067597905,21.3521491433009,20.2835668848124,18.8950835553556,18.1362903201624,17.0805164925325,16.9641863834224,17.3037442875222,17.6001637826352,18.0386130010042,18.4461015568953,19.1174300318454,19.5642385637509,20.4432896600443,21.443911699647,20.7347188014295,18.7998570965072,17.9357082330546,18.2191065739095,18.0716045654099,17.6318031969664,17.8301136783746,19.5736133202436,21.2911134854259,22.8520163143967,23.9928747459054,24.7925020521033,25.6524597376295,25.8880060125194,26.0091895709152,26.1176609520207,26.8381454141242,27.9413862444679,29.5100786613927,31.2098780901816,32.6955631679258,33.9911974913194,34.9409970629172,36.4267586295814,38.0447224599397,39.3203027210124,40.5956856072056,42.1059070097003,43.5165983193102,45.1207598285261,46.6237557392091,47.6332854869404
left square bracket,37.1506683757696,36.3451883270899,35.4007041534299,34.3977999334322,33.6002679885659,32.8231098546556,32.3037538497446,31.7263013946958,31.1362593579141,30.4922162355694,29.7090583512507,28.2170935670923,26.933134319752,25.6516475963401,24.4232024166636,23.4015690360814,22.4665063381732,22.0114103663792,21.835020414641,21.5523600213165,21.1617312708902,20.7285636044729,20.1732155161587,19.5510743924903,18.878673876208,18.3687861874413,18.0035588266824,17.7902273712309,17.7859860169343,17.9940563133785,18.1999089826818,18.4760512133929,18.9677747717944,19.5467251268145,20.328720377399,21.1252732705143,21.5384201358458,21.8720761926367,22.2012628717964,22.3774041854032,22.5248930448034,22.4551632450019,22.5461199801523,22.6347024065361,23.3165494013951,23.6297612180685,23.5053554240077,23.3653282624575,24.0065590856267,24.8338537009948,25.8342982825163,26.8177497565634,27.6803163966169,28.5222586624884,29.2674341865342,30.1783194434365,31.1611625138216,32.2836777806995,33.3242928562139,34.5710489454573,35.9748262465245,37.762914993875,39.0788639824982,40.2625378953468
pigtail,30.9944059947538,29.3998748341889,27.5213990995685,25.425901643208,23.7141142620685,22.2958450277616,21.0241920686563,20.0313061981627,19.424166903078,18.9775619308285,18.6600920392867,18.6645602934513,18.8881904648672,19.6896027794951,20.8159873408098,21.9943534818826,23.2258390283655,24.6915138161738,26.1708181200504,27.7343356946613,29.4259167538789,30.897736761213,32.1036063624608,33.0014521523035,33.0384654345536,32.6299354453195,32.296931501816,31.7844890223087,31.2923346123924,30.7840504950813,30.164637064036,29.7924981031911,28.9482889781874,27.8541802423045,26.6154886329611,25.5083683927739,24.8058419930383,24.4775795869167,24.2429760581381,24.2068920393355,24.3485649098348,24.5998439622081,24.9341279155647,25.3299188371341,24.9820457301688,24.7048157968712,24.5162422619105,24.4490961912689,24.627195166094,25.2641908072449,26.2988161816768,27.2197074300179,28.2130016137996,29.4642500818551,30.5867236600046,32.0919068777644,33.5421412089998,35.151920074587,36.8575334969347,38.642414320753,40.4397040264118,42.2983879886434,43.9297497993688,45.0148028690053
rectangle,43.690300050503,40.5082747731879,38.5044180116034,37.3352590104628,37.5130164231605,38.7658025612699,41.0541245035069,43.6715322632827,46.9406877970841,50.0879930225717,53.3893322308179,56.5099881442865,59.242598797236,61.9282122842971,63.4263518669525,64.2846418359789,65.3291167591375,65.9196192453092,65.4275666033761,65.4876442652815,64.6369170748438,63.6804117988886,62.2363981234367,60.3011102361015,58.130611779035,56.0614813730632,54.4579795722002,52.6935475248525,51.061572726761,49.9450540104979,48.268467254743,45.6242592491328,44.8303891926801,44.6255740504723,44.3497659952455,44.1773570652364,44.8794303014119,46.2806104669159,47.9981832768567,49.7949750560114,51.5189396467191,52.958191815916,54.2770449484432,55.8457094566155,56.9782108538716,58.6961165770457,60.2270720323896,61.6575527193423,62.788184189261,63.9182590503631,63.7262990134543,62.899337292466,61.6699802344254,60.4287069541769,58.7259185223674,57.120069127463,55.294742088561,54.0531341507576,53.1964662994866,52.5238660361376,52.2616348643885,52.3569463880309,53.5322089894138,55.7448496781744
right curly brace,50.3328455748479,47.6799654626713,45.3082630266526,43.0625253140606,41.4140108030826,39.619118209569,38.1154266829058,36.3209199832389,34.9015769879115,33.190359420163,32.2434036333401,32.8378531911971,34.7877742468586,35.8202423666047,36.495608085775,37.5693568674177,38.7612303348607,39.7335245106586,38.789810829066,38.5093835964498,37.5188723276935,36.1458315860177,35.014099768667,33.3052037178961,30.7361890329476,28.6189018123881,26.8648941262234,24.699934187195,24.361979535911,24.2693431461218,23.4440507821382,24.3381134840103,27.1997932477126,27.0536806162193,24.6559233250215,23.7922209209598,23.0745620778354,23.3191803368788,22.7161344894062,21.6320198792626,20.1589046175067,20.4292809467952,21.5127989286639,23.9057089674332,26.9457968350723,30.1244564684681,33.1318056127727,36.6105867881941,39.139858300112,41.8078934170014,43.7176820433651,45.1453214333878,46.6247821756535,46.4877640598086,46.3059868487743,46.9529997658199,46.9769156355396,46.5690098802396,46.4934113327392,47.8036853805604,50.0859013213365,52.9957574796772,55.7344314525894,57.9766768732148
right square bracket,31.521448303926,30.6007557447413,29.9249236520208,29.333211560417,28.9049054338236,28.326371617806,27.9536710046932,27.6549290491051,27.2396198269253,26.8619342289891,26.3332040278182,25.8920585951892,25.7760410433576,26.0089225931416,25.7758594054351,25.0040054460836,24.537148846588,24.003152877303,23.5107068994232,23.2181177314993,23.0044270548198,22.8145437450183,22.7377903038402,22.5238731564076,22.466314153981,22.5407104407014,22.657495096316,22.6540816581622,22.66762160963,22.6619989102541,22.5470404038193,22.8028325594641,22.8854638342268,22.9619264901978,22.9932740689524,23.0711707784252,23.2635445851835,23.6160667158019,23.368312873873,23.9144885162651,24.6350595711356,25.7156078894829,26.7880373662288,26.5656608297613,24.2658158296759,22.6502624280678,21.354689635877,21.3185585454319,22.184806461664,23.686449030735,25.5192571002428,27.0773245002865,28.5626053808487,29.8791149605528,31.1989271983378,32.4813300331676,33.8067392881822,35.2243855234281,36.5173926804843,38.0751730630961,39.3619149580836,40.7029397019249,41.7958301200195,42.5467232986495
star,29.4342338533083,27.457596568119,25.0777520070993,23.6779055275024,23.0398050786379,23.2375291972639,24.1409244252104,25.1896890656801,26.5518314512533,27.9652730250267,28.5773629858644,32.1858015138162,33.5160920861973,33.3518041410439,34.8459116816725,36.3046973441262,36.4036476121738,37.1194057826954,37.5676749394152,37.0527540791576,36.8396794980336,37.5465169760717,37.4971935457757,39.5755837316336,39.4011106371665,37.8938492766626,37.1711020598718,37.2883617793873,37.3132655153551,37.6844745516252,38.1200660405881,38.2140726192899,37.0043828850293,34.7730183645344,33.5860697106753,34.0499922618687,38.5798062021574,35.5774782796351,36.578300772924,37.3550081147459,37.9951678041046,38.9481303030645,40.4373365625676,41.8644818249679,42.6806370604224,41.6831281392505,40.2726795495216,38.0005090164009,34.9735350964627,31.7130646162969,27.8685954490445,27.3012844016694,27.2924751616596,27.2998471787865,27.417297681325,29.3729865959632,31.4879268277437,34.0799029204214,36.9547820477155,35.2517500789995,35.1394432652918,37.2358391169806,40.4169571043163,42.9002363752679
triangle,61.1668783510838,55.9041623102766,50.4176164633939,44.852766068036,39.5787054464193,34.5576884188735,29.7477577771896,25.2192933470348,22.2178503592397,20.9682904024876,21.2909755223142,23.2434432287463,26.9018978145542,31.1712541942369,36.2695794359114,42.1357515431538,48.0887915086813,53.7085990012936,59.1551091721533,64.3392718039713,68.9339310567608,72.1327367604046,72.9906404688025,72.1537051967204,70.5431665969479,68.2407960457179,65.3056639574161,62.105387923163,58.5254594361771,54.9759516484504,51.5491858098013,48.3103020358115,45.1525222294662,42.2187254131805,39.6955111034437,37.3757423365223,35.106100931641,32.9587141197874,31.4038511019409,31.0121033377331,31.7024907735376,32.1940164446958,34.3789037518457,35.7568476897301,37.1372587262888,38.2883297599637,39.3928595701282,40.5202053616233,41.7034720184211,43.495906144303,45.6313225398899,47.7624356861661,49.9031221130887,52.063107641134,54.6301962120877,57.4971927982113,60.0336222693218,62.5798631305399,64.5680688477672,66.6041835179987,68.3600228489088,69.8365826848445,71.0357255233894,72.5460294649558
